norad,name,date,sma,ecc,ecc2,incl,raan,country,owner,users,purpose,perigee,apogee,mass,launch_date,lifetime,contractor,contractor_country,launch_site,launch_vehicle
32953,YUBILEINY,7/1/2012,7871943,0.00184,0,82.5035,286.57,Russia,Research Laboratory of Aerospace Technology (NILAKT ROSTO),Civil,Technology Development (TD),1479.00,1508.00,45.00,5/23/2008,,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot
28369,SAUDICOMSAT 1,7/1/2012,7100408.5,0.00353,0,97.9595,178.67,Saudi Arabia,Riyadh Space Research Institute,Commercial,Technology Development (TD),697.00,747.00,12.00,6/29/2004,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1
37765,SJ-11-02,9/3/2013,7072562.5,0.00127,0,98.1945,9.48,China,Chinese Academy of Space Technology (CAST),Government,Technology Development (TD),686.00,704.00,,7/29/2011,,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C
37820,TIANGONG 1,10/31/2013,6726411.5,0.00007,0,42.7781,254.01,China,Beijing Aerospace Flight Control Center,Government,Technology Development (TD),360.00,361.00,8506.00,9/29/2011,2 yrs.,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2F
39068,STSAT 2C,7/19/2014,7161777,0.0815,0.07,80.2607,323.61,South Korea,Korea Aerospace Research Institute (KARI),Government,Technology Development (TD),298.00,1482.00,93.00,1/30/2013,2 yrs.,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Naro Space Center,Naro-1
39210,PAYLOAD C,4/14/2014,6976480.5,0.00085,0,97.6844,121.95,China,Chinese Academy of Space Technology (CAST),Government,Technology Development (TD),661.00,673.00,,7/19/2013,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C
40076,TDS 1,9/1/2014,7006305,0.00043,0,98.3915,298.37,United Kingdom,Technology Strategy Board,Government,Technology Development (TD),625.00,631.00,150.00,7/8/2014,,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b
37818,TACSAT 4,9/13/2012,12779904,0.443,0.44,63.4784,108.45,USA,Naval Research Laboratory,Military,Technology Development (TD),658.00,11836.00,450.00,9/27/2011,,Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4
39208,PAYLOAD A,9/21/2014,7045769,0.00028,0,98.0377,279.64,China,Chinese Academy of Space Technology (CAST),Military,Technology Development (TD),668.00,672.00,,7/19/2013,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C
39765,OBJECT E,8/20/2014,7621388.5,0.0228,0.03,82.4541,292.8,Russia,Ministry of Defense,Military,Technology Development (TD),1152.00,1503.00,,5/23/2014,,Roskosmos/Russian Academy of Sciences,Russia,Plesetsk Cosmodrome,Rokot
