norad,name,date,sma,ecc,ecc2,incl,raan,country,owner,users,purpose,perigee,apogee,mass,launch_date,lifetime,contractor,contractor_country,launch_site,launch_vehicle
38011,SSOT,8/28/2014,7000984,0.00014,0,97.8923,318.12,Chile,Chilean Air Force,Government/Military,Earth Observation,622.00,624.00,117.00,12/17/2011,,Astrium,France,Guiana Space Center,Soyuz 2/Fregat
32783,CARTOSAT 2A,10/10/2014,7011821,0.00136,0,97.9255,341.58,India,Indian Space Research Organization (ISRO),Military,Earth Observation,624.00,643.00,680.00,4/28/2008,,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C9
34807,RISAT-2,5/29/2014,6799502,0.00088,0,41.2191,29.48,India,Ministry of Defense,Military,Earth Observation,415.00,427.00,93.00,4/20/2009,,Israel Aircraft Industries (IAI),Israel,Satish Dhawan Space Center,PSLV C12
36095,COSMOS 2455,9/12/2014,7283451.5,0.00076,0,67.1488,255.8,Russia,Ministry of Defense,Military,Earth Observation,900.00,911.00,5000.00,11/20/2009,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U
37165,YAOGAN 11,7/1/2012,7025391,0.00299,0,97.9071,231.88,China,People's Liberation Army (C41),Military,Earth Observation,626.00,668.00,,9/22/2010,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D
37875,YAOGAN 12,8/2/2013,6863886,0.00066,0,97.3504,289.1,China,People's Liberation Army (C41),Military,Earth Observation,487.00,496.00,,11/9/2011,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B
37941,YAOGAN 13,10/4/2014,6884987,0.00007,0,97.3914,202.83,China,People's Liberation Army (C41),Military,Earth Observation,506.00,507.00,,11/29/2011,,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C
38007,ELISA W11,2/8/2012,7081463.5,0.00106,0,98.0995,115.16,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,677.00,692.00,120.00,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat
38008,ELISA E24,2/4/2012,7042718.5,0.00121,0,98.2686,112.09,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,675.00,692.00,120.00,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat
38009,ELISA W23,1/29/2012,7070172.5,0.00106,0,98.1616,105.63,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,677.00,692.00,120.00,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat
38010,ELISA E12,2/2/2012,7043067.5,0.00121,0,98.2682,109.99,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,675.00,692.00,120.00,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat
38257,YAOGAN 14,8/16/2014,6852577.5,0.00088,0,97.3341,354.45,China,People's Liberation Army (C41),Military,Earth Observation,469.00,481.00,,5/10/2012,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B
38354,YAOGAN 15,8/28/2014,7581919,0.0004,0,100.2202,353.32,China,People's Liberation Army (C41),Military,Earth Observation,1201.00,1207.00,1040.00,5/29/2012,,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C
39030,GOKTURK 2,6/28/2013,7057289,0.00149,0,98.1398,75.18,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,669.00,690.00,409.00,12/18/2012,5 yrs.,T�B?TAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Jiuquan Satellite Launch Center,Long March 2D
39194,COSMOS 2487,10/2/2014,6867009,0.00029,0,74.7366,3.43,Russia,Ministry of Defense,Military,Earth Observation,497.00,501.00,1150.00,6/27/2013,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela
26631,EROS A1,4/24/2012,6924423.5,0.0008,0,97.6424,185.53,Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Earth Observation,466.00,477.00,240.00,12/5/2000,6 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1
29079,EROS B,4/30/2014,6878977,0.00044,0,97.4466,239.75,Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Earth Observation,508.00,514.00,350.00,4/25/2006,10 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1
32376,SKYMED 2,8/19/2014,7000646.5,0.00007,0,97.8835,54.46,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,622.00,623.00,1700.00,12/9/2007,5 yrs.,Thales�Alenia�Space,Italy,Vandenberg AFB,Delta 2
33412,SKYMED 3,3/30/2014,7002452.5,0.00007,0,97.8771,274.86,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,622.00,623.00,1700.00,10/25/2008,5 yrs.,Thales�Alenia�Space,Italy,Vandenberg AFB,Delta 7420
36744,COMS 1,7/5/2012,42165328,0.00009,0,0.0247,52.74,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Comms,35783.00,35791.00,2460.00,6/26/2010,,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA
37790,NIGERIASAT X,5/18/2014,7078308.5,0.00248,0,98.1839,224.05,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation/TD,661.00,696.00,100.00,8/17/2011,,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Air Base,Dnepr 1
29268,KOMPSAT 2,5/22/2014,7062773.5,0.00156,0,98.1914,40.96,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/TD,676.00,698.00,800.00,7/28/2006,3 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot
25757,TUBSAT,7/1/2012,7100601,0.00141,0,98.5891,52.39,Germany,Deutsches Zentrum f�r Luft- und Raumfahrt,Government,Earth Science,712.00,732.00,45.00,5/26/1999,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2
29108,CALIPSO,9/11/2014,7080663,0.00007,0,98.2046,196.43,Multinational,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,702.00,703.00,587.00,4/28/2006,3 yrs.,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2
31115,BEIDOU M1,5/26/2013,27909358,0.00047,0,56.8958,16.29,China,Chinese Defense Ministry,Military,Navigation,21519.00,21545.00,2200.00,4/14/2007,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
36287,BEIDOU G1,10/2/2014,42165772,0.00042,0,1.5645,359.15,China,Chinese Defense Ministry,Military,Navigation,35768.00,35803.00,2200.00,1/16/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C
36590,BEIDOU G3,8/21/2014,42167852,0.00027,0,1.6088,32.03,China,Chinese Defense Ministry,Military,Navigation,35774.00,35797.00,2200.00,6/2/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3
36828,BEIDOU IGSO 1,4/5/2013,42171764,0.00265,0,54.5857,208.78,China,Chinese Defense Ministry,Military,Navigation,35670.00,35893.00,4200.00,7/31/2010,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
37210,BEIDOU G4,7/8/2014,42167000,0.00053,0,0.6855,39.73,China,Chinese Defense Ministry,Military,Navigation,35764.00,35809.00,6000.00,10/31/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C
37256,BEIDOU IGSO 2,12/1/2012,42172136,0.00119,0,54.8042,330.36,China,Chinese Defense Ministry,Military,Navigation,35717.00,35817.00,4200.00,12/17/2010,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
37384,BEIDOU IGSO 3,7/12/2014,42172532,0.0252,0,56.548,84.21,China,Chinese Defense Ministry,Military,Navigation,35693.00,37872.00,4200.00,4/9/2011,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
37763,BEIDOU IGSO 4,9/23/2014,42168912,0.00203,0,54.7011,205.63,China,Chinese Defense Ministry,Military,Navigation,35708.00,35879.00,4200.00,7/26/2011,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
37948,BEIDOU IGSO 5,8/29/2012,42168360,0.00185,0,54.9968,330.83,China,Chinese Defense Ministry,Military,Navigation,35708.00,35864.00,4200.00,12/1/2011,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A
38953,BEIDOU G6,8/1/2013,42164980,0.00029,0,1.2627,276.68,China,Chinese Defense Ministry,Military,Navigation,35775.00,35799.00,3800.00,10/25/2012,8 yrs.,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C
22877,NAVSTAR 35 (USA 96),6/14/2013,26561752,0.00294,0.01,53.7368,158.84,USA,DoD/US Air Force,Military/Commercial,Navigation,20104.00,20260.00,1816.00,10/26/1993,7.5 yrs.,Rockwell International,USA,Cape Canaveral,Delta 2
24876,NAVSTAR 43 (USA 132),8/14/2014,26559036,0.00233,0.01,55.9676,268.02,USA,DoD/US Air Force,Military/Commercial,Navigation,20123.00,20247.00,2217.00,7/23/1997,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
26407,NAVSTAR 48 (USA 151),8/6/2012,26559878,0.00455,0.02,56.1424,54.56,USA,DoD/US Air Force,Military/Commercial,Navigation,20184.00,20427.00,2217.00,7/16/2000,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
26605,NAVSTAR 49 (USA 154),2/10/2012,26561264,0.00601,0.01,56.1451,302.57,USA,DoD/US Air Force,Military/Commercial,Navigation,20177.00,20498.00,2217.00,11/10/2000,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
26690,NAVSTAR 50 (USA 156),4/5/2013,26561426,0.00305,0.01,53.1503,221.95,USA,DoD/US Air Force,Military/Commercial,Navigation,20104.00,20266.00,2217.00,1/30/2001,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
27663,NAVSTAR 51 (USA 166),12/12/2012,26559164,0.00355,0.01,56.3197,49.14,USA,DoD/US Air Force,Military/Commercial,Navigation,20155.00,20344.00,2217.00,1/29/2003,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
27704,NAVSTAR 52 (USA 168),2/8/2014,26559228,0.00695,0.02,53.4064,149.13,USA,DoD/US Air Force,Military/Commercial,Navigation,20063.00,20433.00,2217.00,3/31/2003,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
28129,NAVSTAR 53 (USA 175),2/26/2013,26560252,0.00686,0.01,53.0344,223.75,USA,DoD/US Air Force,Military/Commercial,Navigation,19963.00,20327.00,2217.00,12/21/2003,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
28361,NAVSTAR 55 (USA 178),2/27/2013,26561188,0.00414,0.01,54.8247,284.17,USA,DoD/US Air Force,Military/Commercial,Navigation,20072.00,20292.00,2217.00,6/23/2004,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
28474,NAVSTAR 56 (USA 180),3/20/2012,26560212,0.00919,0.01,53.7849,176.31,USA,DoD/US Air Force,Military/Commercial,Navigation,19938.00,20426.00,2217.00,11/6/2004,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2
28915,COSMOS 2419 (GLONASS),9/4/2014,25507544,0.00014,0,65.0666,100.21,Russia,Ministry of Defense,Military/Commercial,Navigation,19118.00,19125.00,1480.00,12/25/2005,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K
29486,NAVSTAR 58 (USA 190),11/26/2011,26561284,0.00606,0.01,56.1801,2.88,USA,DoD/US Air Force,Military/Commercial,Navigation,20020.00,20342.00,2060.00,9/25/2006,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2
29672,COSMOS 2424 (GLONASS),4/17/2013,25507986,0,0,65.8969,355.94,Russia,Ministry of Defense,Military/Commercial,Navigation,19130.00,19130.00,1480.00,12/25/2006,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K
32275,COSMOS 2433 (GLONASS),7/22/2012,25508008,0.00018,0,64.9196,125.97,Russia,Ministry of Defense,Military/Commercial,Navigation,19124.00,19133.00,1480.00,10/26/2007,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K
32276,COSMOS 2432 (GLONASS),7/23/2012,25508018,0.00151,0,64.9333,125.98,Russia,Ministry of Defense,Military/Commercial,Navigation,19094.00,19171.00,1480.00,10/26/2007,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K
32384,NAVSTAR 61 (USA 199),11/20/2013,26558972,0.00303,0,55.4432,95.49,USA,DoD/US Air Force,Military/Commercial,Navigation,20150.00,20311.00,2060.00,12/20/2007,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2
32393,COSMOS 2434 (GLONASS),7/1/2012,25507946,0.0046,0,65.4874,5.64,Russia,Ministry of Defense,Military/Commercial,Navigation,19142.00,19378.00,1480.00,12/25/2007,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
33379,COSMOS 2443 (GLONASS),8/16/2012,25508014,0.00022,0,64.8446,124.68,Russia,Ministry of Defense,Military/Commercial,Navigation,19134.00,19145.00,1480.00,9/25/2008,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36111,COSMOS 2456 (GLONASS),7/1/2012,25508022,0.0056,0,64.3886,245.88,Russia,Ministry of Defense,Military/Commercial,Navigation,19132.00,19419.00,1415.00,12/14/2009,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36112,COSMOS 2457 (GLONASS),7/1/2012,25508052,0.00524,0,64.3703,245.83,Russia,Ministry of Defense,Military/Commercial,Navigation,18864.00,19130.00,1415.00,12/14/2009,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36113,COSMOS 2458 (GLONASS),7/10/2012,25508022,0.00061,0,64.3728,245.51,Russia,Ministry of Defense,Military/Commercial,Navigation,19098.00,19129.00,1415.00,12/14/2009,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36400,COSMOS 2459 (GLONASS),7/1/2012,25507968,0.00053,0,64.8184,126.02,Russia,Ministry of Defense,Military/Commercial,Navigation,19119.00,19146.00,1415.00,3/1/2010,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36402,COSMOS 2460 (GLONASS),7/1/2012,25507998,0.00004,0,64.8011,126,Russia,Ministry of Defense,Military/Commercial,Navigation,19131.00,19133.00,1415.00,3/1/2010,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
36585,NAVSTAR 65 (USA 213),5/19/2013,26558936,0.00068,0,55.7372,39.81,USA,DoD/US Air Force,Military/Commercial,Navigation,20188.00,20224.00,1630.00,5/28/2010,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4
37138,COSMOS 2465 (GLONASS),7/1/2012,25507938,0.00515,0,65.08,6.54,Russia,Ministry of Defense,Military/Commercial,Navigation,19116.00,19380.00,1415.00,9/2/2010,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
37372,COSMOS 2471 (GLONASS),12/7/2012,25507606,0.00059,0,64.8351,120.62,Russia,Ministry of Defense,Military/Commercial,Navigation,19116.00,19146.00,935.00,2/26/2011,10 yrs.,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2
37753,NAVSTAR 66 (USA 232),2/26/2013,26560694,0.00024,0,55.0101,163.39,USA,DoD/US Air Force,Military/Commercial,Navigation,20451.00,20464.00,1630.00,7/16/2011,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4
37867,COSMOS 2476 (GLONASS),12/6/2011,25507802,0.00121,0,64.762,252.92,Russia,Ministry of Defense,Military/Commercial,Navigation,19142.00,19204.00,1415.00,11/4/2011,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
37868,COSMOS 2477 (GLONASS),12/7/2011,25567676,0.00096,0,64.7789,252.93,Russia,Ministry of Defense,Military/Commercial,Navigation,19150.00,19199.00,1415.00,11/4/2011,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
37869,COSMOS 2475 (GLONASS),1/27/2012,25476352,0.00143,0,64.7564,251.2,Russia,Ministry of Defense,Military/Commercial,Navigation,19139.00,19212.00,1415.00,11/4/2011,7 yrs.,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
37938,COSMOS 2478 (GLONASS),7/1/2012,25507976,0.00063,0,64.831,126.13,Russia,Ministry of Defense,Military/Commercial,Navigation,19130.00,19162.00,1415.00,11/27/2011,7 yrs.,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2
25544,ISS (ZARYA),10/9/2014,6794523,0.00155,0,51.653,256.09,Multinational,NASA/Multinational,Government,Space Science,401.00,422.00,,11/20/1998,30+ yrs.,Boeing Satellite Systems (prime)/Multinational,Multinational,Baikonur Cosmodrome,Proton
27843,MOST,7/1/2012,7202668.5,0.00104,0,98.7159,189.5,Canada,Canadian Space Agency,Government,Space Science,817.00,832.00,53.00,6/30/2003,1 yr.,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot
28737,SJ-7,12/10/2012,6940937.5,0.00411,0,97.7099,1.49,China,Chinese Academy of Space Technology (CAST),Government,Space Science,534.00,591.00,,7/5/2005,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D
28773,ASTRO E2,7/13/2012,6933455,0.00072,0,31.4084,355.98,Multinational,Japan Aerospace Exploration Agency (JAXA)/NASA,Government,Space Science,548.00,558.00,1600.00,7/10/2005,5 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,M5
29479,HINODE (SOLAR B),3/10/2012,7060221,0.00184,0,98.1106,70.26,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,670.00,696.00,700.00,10/22/2006,3 yrs.,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V
36088,SJ-11-01,3/24/2014,7071265,0.0012,0,98.0481,133.69,China,Chinese Academy of Space Technology (CAST),Government,Space Science,686.00,703.00,,11/12/2009,3 yrs.,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C
37388,YOUTHSAT,11/19/2011,7191869,0.00153,0,98.7569,34.53,India,Indian Space Research Organization (ISRO),Government,Space Science,802.00,824.00,92.00,4/20/2011,2 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C16
30580,THEMIS A,7/21/2014,40127388,0.864,0.82,13.0983,3.8,Multinational,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,461.00,87304.00,126.00,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2
30797,THEMIS D,4/22/2012,42160540,0.864,0.77,5.2634,61.75,Multinational,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,467.00,87260.00,126.00,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2
30798,THEMIS E,2/11/2012,42161980,0.864,0.79,3.6826,81.19,Multinational,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,474.00,87526.00,126.00,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2
